val_id,id,study_id,is_the_model_published_previously,method,method_sub,domain,sd_origin,metric_origin,n_classes,k_folds,n_participants,test_environment,test_protocol,validation_type,age_group,test_device,metric,mean,sd,yi,vi_fold,vi_class,vi_ext,vi_use,vi_source,method_group,miss_n_classes,miss_k_folds,n_classes_imp,k_folds_imp,c_n_classes,c_k_folds,env_re,prot_re,dom_re,se_use,est,ci_l,ci_u,auth_year,method_lab,row_lab
115,54,Marcotte 2020,Yes - Staudenmayer 2015,Classical ML,Decision tree,Activity type,NA,per_class,2,NA,48,Free-living,Unstructured,External,Children and Youth,GT3X-BT (ActiGraph),Sensitivity,0.7,NA,0.84729786,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Free-living,Unstructured,Activity type,0.389571617,0.7,0.520922149,0.833530506,Row 54,Classical ML,Row 54 â€“ Classical ML â€“ (ID 115)
115,54,Marcotte 2020,Yes - Staudenmayer 2015,Classical ML,Decision tree,Activity type,NA,per_class,2,NA,48,Free-living,Unstructured,External,Children and Youth,GT3X-BT (ActiGraph),Specificity,0.817,NA,1.496152942,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Free-living,Unstructured,Activity type,0.389571617,0.817,0.675373937,0.905485099,Row 54,Classical ML,Row 54 â€“ Classical ML â€“ (ID 115)
116,54,Marcotte 2020,Yes - Staudenmayer 2015,Classical ML,Random forest,Activity type,NA,per_class,2,NA,48,Free-living,Unstructured,External,Children and Youth,GT3X-BT (ActiGraph),Sensitivity,0.613,NA,0.459940243,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Free-living,Unstructured,Activity type,0.389571617,0.613,0.424672752,0.772679005,Row 54,Classical ML,Row 54 â€“ Classical ML â€“ (ID 116)
116,54,Marcotte 2020,Yes - Staudenmayer 2015,Classical ML,Random forest,Activity type,NA,per_class,2,NA,48,Free-living,Unstructured,External,Children and Youth,GT3X-BT (ActiGraph),Specificity,0.842,NA,1.673184981,NA,NA,NA,0.151766045,constant,Other,0,1,2,23.45967742,-0.719512195,0,Free-living,Unstructured,Activity type,0.389571617,0.842,0.71292334,0.919586745,Row 54,Classical ML,Row 54 â€“ Classical ML â€“ (ID 116)
117,54,Marcotte 2020,Yes - Bakrania 2016,Threshold / Cutpoint,Threshold,Activity type,NA,per_class,2,NA,48,Free-living,Unstructured,External,Children and Youth,GT3X-BT (ActiGraph),Sensitivity,0.75,NA,1.098612289,NA,NA,NA,0.151766045,constant,Threshold,0,1,2,23.45967742,-0.719512195,0,Free-living,Unstructured,Activity type,0.389571617,0.75,0.582988076,0.865549988,Row 54,Threshold / Cutpoint,Row 54 â€“ Threshold / Cutpoint â€“ (ID 117)
117,54,Marcotte 2020,Yes - Bakrania 2016,Threshold / Cutpoint,Threshold,Activity type,NA,per_class,2,NA,48,Free-living,Unstructured,External,Children and Youth,GT3X-BT (ActiGraph),Specificity,0.741,NA,1.051172564,NA,NA,NA,0.151766045,constant,Threshold,0,1,2,23.45967742,-0.719512195,0,Free-living,Unstructured,Activity type,0.389571617,0.741,0.571411458,0.85993292,Row 54,Threshold / Cutpoint,Row 54 â€“ Threshold / Cutpoint â€“ (ID 117)
118,54,Marcotte 2020,Yes - Hildebrand 2017,Threshold / Cutpoint,Threshold,Activity type,NA,per_class,2,NA,48,Free-living,Unstructured,External,Children and Youth,GT3X-BT (ActiGraph),Sensitivity,0.89,NA,2.090741097,NA,NA,NA,0.151766045,constant,Threshold,0,1,2,23.45967742,-0.719512195,0,Free-living,Unstructured,Activity type,0.389571617,0.89,0.790373912,0.945540606,Row 54,Threshold / Cutpoint,Row 54 â€“ Threshold / Cutpoint â€“ (ID 118)
118,54,Marcotte 2020,Yes - Hildebrand 2017,Threshold / Cutpoint,Threshold,Activity type,NA,per_class,2,NA,48,Free-living,Unstructured,External,Children and Youth,GT3X-BT (ActiGraph),Specificity,0.574,NA,0.29819005,NA,NA,NA,0.151766045,constant,Threshold,0,1,2,23.45967742,-0.719512195,0,Free-living,Unstructured,Activity type,0.389571617,0.574,0.385712611,0.743024911,Row 54,Threshold / Cutpoint,Row 54 â€“ Threshold / Cutpoint â€“ (ID 118)
119,2919,Mardini 2020,No,Deep Learning,CNN_LSTM,Activity type,classes,macro,3,10,145,Laboratory,Structured,Cross-validation,Adults; Older adults,GT3X+ (ActiGraph),F1,0.86,0.08,1.815289967,NA,0.14716541,NA,0.14716541,classes,Other,0,0,3,10,0.280487805,-13.45967742,Laboratory,Structured,Activity type,0.383621441,0.86,0.743338216,0.928719767,Row 2919,Deep Learning,Row 2919 â€“ Deep Learning â€“ (ID 119)
119,2919,Mardini 2020,No,Deep Learning,CNN_LSTM,Activity type,classes,macro,3,10,145,Laboratory,Structured,Cross-validation,Adults; Older adults,GT3X+ (ActiGraph),Sensitivity,0.83,0.13,1.585627264,NA,0.282951123,NA,0.282951123,classes,Other,0,0,3,10,0.280487805,-13.45967742,Laboratory,Structured,Activity type,0.531931502,0.83,0.632519668,0.932655396,Row 2919,Deep Learning,Row 2919 â€“ Deep Learning â€“ (ID 119)
