Covidence #,Study ID,Title,SQ1,SQ2,SQ3,SQ4,Domain 1: Patient Selection/Study Design,SQ5,SQ6,Domain 2: Index Measure,SQ7,SQ8,Domain 3: Criterion Measure,SQ9,SQ10,SQ11,Domain 4: Flow and Timing
5071,Huang 2024,Preliminary field validity of ActiGraph-based energy expenditure estimation in wheelchair users with spinal cord injury.,Yes,Yes,Yes,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,No,Yes,High risk of bias
5335,Xu 2023,Comparison of different prediction models for estimation of walking and running energy expenditure based on a wristwear three-axis accelerometer.,No,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
5408,Patterson 2023,40 years of actigraphy in sleep medicine and current state of the art algorithms.,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
5450,Sansom 2023,Estimating sleep duration: performance of open-source processing of actigraphy compared to in-laboratory polysomnography in the community.,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
5455,Trost 2022,Evaluation of Wrist Accelerometer Cut-Points for Classifying Physical Activity Intensity in Youth.,Yes,No,No,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
5456,Sevil 2020,Determining Physical Activity Characteristics from Wristband Data for Use in Automated Insulin Delivery Systems.,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,No,High risk of bias,No,Yes,Yes,High risk of bias
5492,Jeong 2022,A Comparative Study on the Influence of Undersampling and Oversampling Techniques for the Classification of Physical Activities Using an Imbalanced Accelerometer  Dataset.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
5534,Ellingson 2017,Lab-based validation of different data processing methods for wrist-worn ActiGraph accelerometers in young adults.,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
5580,Sasaki 2016,Performance of Activity Classification Algorithms in Free-Living Older Adults.,Yes,Yes,Yes,Yes,Low risk of bias,No,Yes,High risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
5624,Montoye 2016,Wrist-independent energy expenditure prediction models from raw accelerometer data.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
5753,Mahadevan 2021,Development of digital measures for nighttime scratch and sleep using wrist-worn wearable devices.,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
5985,Yuan 2024,Self-supervised learning of accelerometer data provides new insights for sleep and its association with mortality.,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
6332,Hossain 2021,Ordinal Statistical Models of Physical Activity Levels from Accelerometer Data.,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
6693,Uphill 2024,"Validity of Apple Watch, Garmin ForerunnerÂ® 935 and GENEActiv for estimating energy expenditure during close quarter battle training in Special Forces soldiers",No,Yes,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
6979,Bianchim 2024,A Machine Learning Approach for Physical Activity Recognition in Cystic Fibrosis,Yes,No,No,Yes,High risk of bias,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
7472,Kim 2023,Automation of classification of sleep stages and estimation of sleep efficiency using actigraphy,No,NA,Yes,Yes,High risk of bias,No,Yes,High risk of bias,Yes,No,High risk of bias,No,Yes,Yes,High risk of bias
7483,Felton 2023,Generalizing and Mapping Actigraphy Based Sleep Detection Algorithms,No,NA,No,No,High risk of bias,Yes,No,High risk of bias,Yes,No,High risk of bias,No,No,Yes,High risk of bias
7678,Bianchim 2023,Calibration and Cross-validation of Accelerometry in Children and Adolescents with Cystic Fibrosis,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
8106,Huang 2022,AccSleepNet: An Axis-Aware Hybrid Deep Fusion Model for Sleep Stage Classification Using Wrist-Worn Accelerometer Data,Yes,NA,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
8295,Paraschiakos 2022,A recurrent neural network architecture to model physical activity energy expenditure in older people,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
8620,Mikulec 2021,Automatic Segmentation of Actigraphy Data Utilising Gradient Boosting Algorithm,No,NA,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
9034,Kuster 2020,Where to Place Which Sensor to Measure Sedentary Behavior? A Method Development and Comparison Among Various Sensor Placements and Signal Types,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
9709,Farrahi 2020,Evaluating and Enhancing the Generalization Performance of Machine Learning Models for Physical Activity Intensity Prediction from Raw Acceleration Data,Yes,No,No,No,High risk of bias,No,Yes,High risk of bias,No,NA,High risk of bias,NA,No,Yes,High risk of bias
9734,Barouni 2020,Ambulatory sleep scoring using accelerometers-distinguishing between nonwear and sleep/wake states,Yes,NA,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,No,High risk of bias
9905,Montoye 2019,Cross-Validation and Comparison of Energy Expenditure Prediction Models Using Count-Based and Raw Accelerometer Data in Youth,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,No,High risk of bias,Yes,Yes,Yes,Low risk of bias
10036,Trevenen 2019,"Using hidden Markov models with raw, triaxial wrist accelerometry data to determine sleep stages",No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
10178,Steenbock 2019,Accelerometry-based prediction of energy expenditure in preschoolers,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
10688,Fujimoto 2018,Sleep stage detection using a wristwatch-type physiological sensing device,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,No,High risk of bias
11204,Yoshida 2017,Development of sleep-wake estimation algorithm using the wrist acceleration sensor,No,NA,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,No,High risk of bias,No,Yes,No,High risk of bias
11378,Montoye 2017,Validation of Accelerometer-Based Energy Expenditure Prediction Models in Structured and Simulated Free-Living Settings,Yes,Yes,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,No,High risk of bias,No,Yes,Yes,High risk of bias
11760,Montoye 2017,Comparison of linear and non-linear models for predicting energy expenditure from raw accelerometer data,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
11841,Mannini 2017,Activity recognition in youth using single accelerometer placed at wrist or ankle,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
12084,Mackintosh 2016,Investigating optimal accelerometer placement for energy expenditure prediction in children using a machine learning approach,Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
12174,Montoye 2016,"Comparison of Activity Type Classification Accuracy from Accelerometers Worn on the Hip, Wrists, and Thigh in Young, Apparently Healthy Adults",Yes,Yes,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
12268,Rowlands 2016,Sedentary sphere: Wrist-worn accelerometer-brand independent posture classification,Yes,No,Yes,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
13339,Dong 2014,Metabolic energy expenditure estimation using a position-agnostic wearable sensor system,Yes,Yes,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Yes,Low risk of bias
13351,Borazio 2014,Towards benchmarked sleep detection with wrist-worn sensing units,No,NA,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,No,High risk of bias
13708,Mannini 2013,Activity recognition using a single accelerometer placed at the wrist or ankle,Yes,No,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,No,NA,High risk of bias,NA,Yes,Yes,Low risk of bias
14135,Altini 2013,Combining wearable accelerometer and physiological data for activity and energy expenditure estimation,Yes,No,No,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,Yes,High risk of bias
14825,Liang 2011,Development of an actigraph system for sleep-wake identification,No,NA,No,Yes,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,Yes,No,High risk of bias
15839,Haapalainen 2008,Estimation of exercise energy expenditure using a wrist-worn accelerometer: A linear mixed model approach with fixed-effect variable selection,No,No,No,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,No,Yes,High risk of bias
15949,Haapalainen 2008,Exercise energy expenditure estimation based on acceleration data using the linear mixed model,No,No,No,No,High risk of bias,Yes,Yes,Low risk of bias,Yes,Yes,Low risk of bias,No,No,No,High risk of bias
