id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,features,features_extracted_from,window_size,feature_types_model,feature_selection,method_best,sub_method_best,outcomes
1664,Thapa-Chhetry 2022,2022,United States of America,Adults,97,46,Apparently healthy,n.r.,1,GT3X+ (ActiGraph); GT9X (ActiGraph); AX3 (Axivity),ActiGraph; Axivity,n.r.,Triaxial ,n.r.,n.r.,80-100 Hz,81-100 Hz,1,80 Hz,None,Polyphase filtering for resampling,Low-pass,n.a.,n.r.,None,Time-domain; Spatial,n.r.,"Individual axes (x,y,z); Signal vector magnitude",,Time-domain; Spatial,None,Linear / GLM,LogisticRegression,Sleep-Wake
10036,Trevenen 2019,2019,Australia,Adults,242,120,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,Subtracting 1g from VM,Time-domain,"Mean, variance, root mean square (x,y,z), pearson correlation coefficients (xy,yz,xz), difference between max and min, vector magnitude of each of two axes and all three axes (xy,yz,xz,xyz)
",Signal vector magnitude,30 sec,Time-domain,Random forest importance ranking,Probabilistic Temporal,HMM,Sleep-Wake
24863,Trost 2014,2014,Australia; United States of America,Children and Youth,52,24,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,12 bit,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain,"Standard deviation (x,y,z), age, gender, height, weight, BMI","Individual axes (x,y,z)",10 sec,Time-domain,L1 regularization - Lasso penalty,Linear / GLM,LogisticRegression,Activity type
25302,Trost 2018,2018,Australia,Children and Youth,11,6,n.r.,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,Median of absolute change in arm angle (degrees) between successive epochs (5-sec) for a specified window (5-min),Signal vector magnitude,15 sec,Time-domain; Frequency-domain,None,Classical ML,SVM,Activity type
5455,Trost 2022,2022,Australia,Children and Youth,18,8,n.r.,n.r.,0,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,12 bit,30 Hz,21-50 Hz,0,30 Hz,Autocalibration procedures performed described by Nadeau et al. (2017) - calibrated to local gravity using ellipsoid fitting,None,None,,,,Time-domain,"25th percentile (x), 25th percentile (z), 90th percentile (x), coefficient of variation (y), coefficient of variation (z), dominant frequency (y), dominant frequency (vm), maximum (x), minimum (vm), minimum (x), minimum (y), skewness (y), standard deviation (vm), zero crossings (x), zero crossings (z).","Individual axes (x,y,z)",5 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity intensity
6693,Uphill 2024,2024,Australia,Adults,36,0,Apparently healthy,n.r.,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,,,,Time-domain,"Mean, standard deviation, minimum, maximum, interquartile range, percentiles (10th, 25th, 50th, 75th, 95th), coefficient of variation, signal sum, signal power, peak-to-peak amplitude, median crossings, dominant frequency (0.25-5 Hz), magnitude of dominant frequency (0.25-5 Hz), signal entropy (0.25-5 Hz)","Individual axes (x,y,z)",5 sec,Time-domain,n.a.,Heuristic Rule,HeuristicRule,Energy expenditure
34730,van Loo 2017,2017,Australia; Norway,Children and Youth,57,29,Apparently healthy,1,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,"Phillips et al., 2013 algorithm - None
Schaefer et al., 2014 algorithm - Band-pass filter (0.2-15 Hz)",None; Band-pass,15,0.2,Filter,Time-domain,ENMO (mg),"Individual axes (x,y,z)",1 sec,Time-domain,n.a.,Threshold / Cutpoint,Threshold,Activity type
1518,vanHees 2011,2011,Sweden; United States of America; United Kingdom,Adults,74,74,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,LIS3LV02DL (STMicroelectronics),Triaxial ,±6g,n.r.,"40 Hz
",21-50 Hz,0,"40 Hz
",None,Butterworth bandpass (0.2 - 15 Hz) [fourth order],Band-pass,0.2,15,FIlter,Time-domain,Signal vector magnitude,"Individual axes (x,y,z)",1 sec,Time-domain,n.a.,Linear / GLM,LinearRegression,Energy expenditure
1438,vanHees 2013,2013,United Kingdom,Adults,28,15,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,LIS3LV02DL (STMicroelectronics),Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,Butterworth low-pass (0.2 Hz) [fourth order],Low-pass; High-pass,0.2,0.2,Filter; Subtracting 1g from VM,"Time-domain; Frequency-domain; Nonlinear, Spatial",RMSD of three successive epochs,"Individual axes (x,y,z)",2 sec AND 4 sec for frequency-domain features,Time-domain,n.a.,Linear / GLM,LogisticRegression,Activity type
1279,vanHees 2013,2013,Sweden; United Kingdom; Germany; Norway,Adults,62,63,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,LIS3LV02DL (STMicroelectronics),Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,Butterworth bandpass (0.2-18 Hz) [fourth order] for some time-domain features; Butterworth low-pass (0.5 Hz) [fourth order] for some time-domain features; Bandpass (0.25-10 Hz) frequency filter for some frequency domain features,Band-pass,0.2; 0.25; 0.5,10; 18,Subtracting 1g from VM,Time-domain,"Mean, SD, max, min, percentiles of VM (10th, 25th, 50th, 75th, 90th)
unit = g","Individual axes (x,y,z); Signal vector magnitude",1 sec,"Time-domain; Frequency-domain; Nonlinear, Spatial",Principal component analysis,Linear / GLM,LinearRegression,Energy expenditure
