id,study,year,country,age_group,sample_size,females,health,ethnicity_reported,unique_model,device,device_brand,sensor,sensor_type,dynami_range,bit_resolution,acquisition_sampling_rate,sampling_rate_cat,resampled,resampled_sampling_rate,raw_signal_check,digital_filter,digital_filter_type,highpass_cutoff,lowpass_cutoff,gravity_removal,feature_types,window_size,method_best,sub_method_best,outcomes
5492,Jeong 2022,2022,South Korea,Adults,32,19,Apparently healthy,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain; Nonlinear,5 sec,Classical ML,RandomForest,Activity type
6332,Hossain 2021,2021,United States of America,Adults,28,14,Apparently healthy,n.r.,1,GT9X Link (ActiGraph),ActiGraph,n.r.,Triaxial ,n.r.,n.r.,60 Hz,51-80 Hz,0,60 Hz,None,None,None,n.a.,n.a.,None,Time-domain,30 sec,Classical ML,RandomForest,Activity type
12174,Montoye 2016,2016,United States of America,Adults,39,20,Apparently healthy,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,n.r.,n.r.,20 Hz,1-20 Hz,0,20 Hz,None,None,None,n.a.,n.a.,None,Time-domain,5 sec,Deep Learning,ANN,Activity type
12268,Rowlands 2016,2016,United Kingdom,Adults,34,20,n.r.,n.r.,0,GT3X+ (ActiGraph); GENEActiv (ActivInsights),ActiGraph; ActivInsights,n.r.,Triaxial ,±6g; ±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,n.a.,n.a.,None,Time-domain,15 sec,Classical ML,DecisionTree,Activity type
30700,Allik 2016,2016,Estonia,Adults,25,12,Apparently healthy,n.r.,1,Shimmer3 (Shimmer),Shimmer,n.r.,Triaxial ,±16g,n.r.,512 Hz,>100 Hz,1,25 Hz,None,Lowpass Butterworth IIR filter (0.1 Hz) [third order] to obtain the static component,Low-pass,n.a.,0.1,Filter,Time-domain,3 sec,Classical ML,DecisionTree,Activity type
31390,Atallah 2011,2011,United Kingdom,Adults,11,2,Apparently healthy,n.r.,1,Custom,Custom,ADXL330 (Analog Devices),Triaxial ,±3g,n.r.,50 Hz,21-50 Hz,0,50 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,5 sec,Classical ML,NaiveBayes,Activity type
35760,Chan 2024,2024,United Kingdom,Adults,151,99,Apparently healthy,n.r.,1,AX3 (Axivity),Axivity,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,Sampling rate correction (nearest neighbour interopolation) and gravity autocalibration,None,None,n.a.,n.a.,None,Time-domain,10 sec,Deep Learning,CNN_HMM,Activity type
185,Altini 2015,2015,Netherlands,Adults,15,4,n.r.,n.r.,1,Imec Necklace,Imec,ADXL330 (Analog Devices),Triaxial ,n.r.,n.r.,64 Hz,51-80 Hz,0,64 Hz,None,"Bandpass (0.1 - 10 Hz) [n.r.], Low-pass (1 Hz) [n.r.]",Band-pass,0.1,10,FIlter,Time-domain; Frequency-domain,4 sec,Classical ML,SVM,Activity type; Energy expenditure
901,Ellis 2014,2014,United States of America,Adults,40,21,n.r.,n.r.,1,GT3X+ (ActiGraph),ActiGraph,n.r.,Triaxial ,±6g,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain; Frequency-domain,1 min,Classical ML,RandomForest,Activity type; Energy expenditure
3488,Altini 2014,2014,Netherlands,Adults,18,4,Apparently healthy,n.r.,1,Imec Wristband,Imec,n.r.,Triaxial ,n.r.,n.r.,32 Hz,21-50 Hz,0,32 Hz,None,"Bandpass (0.1 - 10 Hz) [n.r.], Low-pass (1 Hz) [n.r.]",Band-pass,0.1,10,FIlter,Time-domain; Frequency-domain,4 sec,Classical ML,SVM,Activity type; Energy expenditure
14135,Altini 2013,2013,Netherlands,Adults,16,4,Apparently healthy,n.r.,1,Imec Wristband,Imec,n.r.,Triaxial ,n.r.,n.r.,32 Hz,21-50 Hz,0,32 Hz,None,"Bandpass (0.1 - 10 Hz) [n.r.], Low-pass (1 Hz) [n.r.]",Band-pass,0.1,10,FIlter,Time-domain; Frequency-domain,15 sec,Classical ML,SVM,Activity type; Energy expenditure
1040,Kim 2009,2009,South Korea,Adults,17,0,Apparently healthy,n.r.,1,Custom,Custom,MMA7260Q (Freescale Semiconductor),Triaxial ,n.r.,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,High-pass filter (0.5 Hz) [n.r.],High-pass,0.5,n.a.,Filter,Time-domain,n.r.,Linear / GLM,LinearRegression,Energy expenditure
1068,Siddall 2019,2019,United Kingdom,Adults,20,10,Apparently healthy,n.r.,0,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,100 Hz,81-100 Hz,0,100 Hz,None,None,None,,,,Time-domain,1 min,Heuristic Rule,HeuristicRule,Energy expenditure
1238,Nightingale 2015,2015,United Kingdom,Adults,17,0,Wheelchair users,n.r.,1,GENEActiv (ActivInsights),ActivInsights,n.r.,Triaxial ,±8g,n.r.,30 Hz,21-50 Hz,0,30 Hz,None,None,None,n.a.,n.a.,None,Time-domain,60 sec,Linear / GLM,LinearRegression,Energy expenditure
1279,vanHees 2013,2013,Sweden; United Kingdom; Germany; Norway,Adults,62,63,Apparently healthy,n.r.,1,GENEA (Unilever & ActivInsights),Unilever & ActivInsights,LIS3LV02DL (STMicroelectronics),Triaxial ,±6g,n.r.,80 Hz,51-80 Hz,0,80 Hz,None,Butterworth bandpass (0.2-18 Hz) [fourth order] for some time-domain features; Butterworth low-pass (0.5 Hz) [fourth order] for some time-domain features; Bandpass (0.25-10 Hz) frequency filter for some frequency domain features,Band-pass,0.2; 0.25; 0.5,10; 18,Subtracting 1g from VM,Time-domain,1 sec,Linear / GLM,LinearRegression,Energy expenditure
